Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Date
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.71607208251953,94.90049743652344,68.18681335449219,208.981689453125,153.32327270507812,5.9727091789245605,28.68400001525879,72.77659819422657,94.90049743652344,68.18681335449219,208.9916459262682,153.4282761547816,5.9727091789245605,28.713333129882812,71.46681225027338,93.2074966430664,67.08132380627873,205.48505208884757,151.13731033565847,5.893292549520989,28.11400032043457,71.72101896406637,93.75,67.176977721624,205.96322121200086,151.56686460604337,5.94383044776384,28.299999237060547,135480400,80580000,27278000,12077100,22622100,237536000,142981500,2020-01-02
2020-01-03,72.00910949707031,93.74849700927734,67.83011627197266,207.87594604492188,151.4141082763672,5.877112865447998,29.534000396728516,72.77173687491619,94.30999755859375,68.43941121520831,209.59935861822672,152.68368996502065,5.920929332867355,30.266666412353516,71.78395417961447,93.2249984741211,67.12268159601786,206.1624899463475,150.87955063179803,5.828068337272346,29.128000259399414,71.9413205610049,93.2249984741211,67.15656298941283,206.42151029658712,151.12774851363613,5.852964068188949,29.366666793823242,146322800,75288000,23408000,11188400,21116200,205384000,266677500,2020-01-03
2020-01-06,72.58292388916016,95.14399719238281,69.63805389404297,211.79098510742188,151.80548095703125,5.901758193969727,30.1026668548584,72.62166149456958,95.18450164794922,69.66345923216974,211.9702928450579,151.87230794316667,5.906986253744551,30.104000091552734,70.876090172576,93.0,67.30600805367692,205.734119913227,149.39995707140503,5.757612845980144,29.333332061767578,71.12788091351582,93.0,67.33738843542059,205.91342765086304,149.9440697335836,5.783753144854267,29.364667892456055,118387200,81236000,46768000,17058900,20813700,262636000,151995000,2020-01-06
2020-01-07,72.24156188964844,95.34300231933594,69.50354766845703,212.2492218017578,150.42135620117188,5.973207950592041,31.270666122436523,72.84923913180799,95.69450378417969,69.92153470711604,213.76344186963544,152.4164068417858,6.019015909273945,31.441999435424805,72.0212459184403,94.60199737548828,69.32669091744489,210.94420929091677,150.1731728919405,5.885077405904692,30.224000930786133,72.59260896500349,95.2249984741211,69.77008329725511,212.01014482311425,152.0823156061593,5.930138431177866,30.760000228881836,108872000,80898000,34330000,14912400,21634100,314856000,268231500,2020-01-07
2020-01-08,73.40364074707031,94.59850311279297,69.99825286865234,214.4010009765625,152.8173370361328,5.984411239624023,32.80933380126953,73.70627127642481,95.55000305175781,70.3375228813182,215.41712371504224,153.49508916164322,6.025738074340732,33.232666015625,71.94375136900179,94.3219985961914,69.37999541559134,211.80093248741233,150.77455475450427,5.928894094117327,31.215333938598633,71.94375136900179,94.9020004272461,69.48909698901235,212.1894477696659,151.71003067939102,5.96897588148792,31.579999923706055,132079200,70160000,35314000,13475000,27746500,277108000,467164500,2020-01-08
2020-01-09,74.96280670166016,95.05249786376953,70.73308563232422,217.46929931640625,154.72642517089844,6.050136089324951,32.089332580566406,75.15648731833909,95.89099884033203,71.17597625297427,217.54899671402546,154.85052407414236,6.122582464697482,33.253334045410156,74.1323901596974,94.79000091552734,70.25581190329635,215.45698182851288,153.71458214149152,5.996361626623483,31.524667739868164,74.38417348369161,95.49449920654297,70.83969379325514,216.71218163938585,154.48778239733647,6.070799508067486,33.13999938964844,170108400,63346000,33200000,12642800,21385000,255112000,426606000,2020-01-09
2020-01-10,75.13225555419922,94.15799713134766,71.18993377685547,217.2301788330078,154.0105743408203,6.082500457763672,31.876667022705078,75.69878635468899,95.34700012207031,71.48785740160909,219.04326019109223,155.8051735619528,6.187809062014118,32.3293342590332,74.62868165074606,94.0,70.72362944509531,216.59261493581025,153.8578393931481,6.068310145421286,31.579999923706055,75.19762847110803,95.26850128173828,71.21534672058111,218.36583999991353,155.42335075837863,6.157436456326926,32.11933135986328,140644800,57074000,26258000,12119400,20725900,316296000,194392500,2020-01-10
2020-01-13,76.73741149902344,94.56500244140625,71.74143981933594,221.0655517578125,155.8624267578125,6.2732014656066895,34.990665435791016,76.76404682603398,94.9000015258789,71.81367248231345,221.1253210028928,155.89106273635204,6.2983460126438064,35.04199981689453,75.3307854721379,94.04000091552734,71.01108564882162,218.3758293241344,153.9341883310565,6.142997129096606,32.79999923706055,75.44942165682815,94.56549835205078,71.50329704590968,218.76434461787986,154.4114740608552,6.165652530748785,32.900001525878906,121532000,55616000,30730000,14463400,21626500,319840000,397764000,2020-01-13
